char	pengim	annot
巰	kiu5	
曌	zio3	
土	tou2	
壙	kuang3	
圩	u1	
圩	hv1	
圬	u1	
圭	gui1	
圪	ngvk4	
圳	zung3	
塵	ding5	
塵	tung5	
塵	deng5	
圮	pi2	
圯	i5	
地	di7	
地	do3	方
圾	kip4	bound
場	dion5	
場	ciang5	方
墳	pung5	
坊	huang1	
坊	huang2	俗
坑	ken1	
壇	duan5	
罈	tam5	
罎	tam5	
壞	huai6	
壞	pue1	
址	zi2	
堅	giang1	
壩	ba3	
坐	zo6	
圿	goih4	方
坌	pung3	
圻	ki5	
阪	bang2	
坂	bang2	
均	gvng1	
坍	tang1	
坍	dang1	俗
坎	kam2	
坎坷	kam2 ko1	
塢	u3	
塊	go3	俗
墜	dui6	
坨	to5	
垃圾	la1 kip4	文
垃圾	nah4 sap4	白
幸	heng6	
倖	heng6	
坪	peng5	文
坪	pian5	白
坷	ko1	
塋	eng5	
塋	iong5	又
坩	gam1	
坯	pue1	
坺	pueh8	方
壟	long2	文
壟	leng2	白
坫	diam3	
壚	lu5	
坦	tang2	
坤	kung1	
坰	keng5	
垇	au2	
坻	di2	
坼	cek4	
坡	bo1	
坭	ni5	
坳	au1	
垞	ca5	
垵	ang2	
垓	gai1	
垟	iang5	
型	heng5	
垚	ngiau5	
堊	ak4	
埡	a3	
埡	u3	又
垣	huang5	
墶	dak8	
垮	kua1	
垤	diak4	
城	sian5	
墊	diang6	
垌	dang7	
垌	tong5	
塏	kai2	
垡	huak8	文
垡	pueh8	白
垍	gi6	
垧	hiang2	
垢	gou3	文
垢	gau2	白
垢圿	gau2 goih4	方
垕	hou6	
垛	do5	俗
垜	do5	
壘	lui2	
墾	kvng2	
垠	ngvng5	
垸	uang5	
埔	bou1	
埂	gen2	
埕	dian5	
塒	si5	
垾	huan7	方
埋	mai5	
堝	ue1	bound
壎	hvng1	
袁	uang5	
埒	luak4	
埃	ai1	
培	bue5	
埻	zung2	
墠	siang6	
堎	leng7	
堵	du2	
域	hok8	
基	gi1	
埴	sek4	
埼	ki5	
埯	am2	
塹	ziam6	
塹	zam2	俗
埸	ek8	
堌	gu3	
埝	niam6	
埵	do5	
堆	dui1	
堆	du1	又
堆	dung1	俗
埤	bi1	
埤	bui1	
堋	peng5	
埠	bou1	
堍	tou3	
埽	sau3	
埭	do7	方
墮	dui6	
塃	huang1	
堪	kam1	
堞	diap8	
塔	tah4	
堰	iam2	
堰	iam1	俗
堙	ing1	
堤	doi1	
塭	ung3	方
塄	leng5	
塅	dvng7	
堠	hau7	
堡	bau2	
塘	tang5	文
塘	dvng5	白
塑	suak4	
塑	su3	又
㙟	lang6	
墓	mo6	
塨	giong1	
填	tiang5	
塬	nguang5	
塌	tap4	
塌	tap8	又
堽	gang1	
境	geng2	
墒	siang1	
塾	sok8	
墉	iong5	
牆	cion5	
墻	cion5	
墈	kam3	
墘	gin5	方！
墟	hv1	
墅	su2	
墁	bhuang2	
墩	dung1	
墡	siang6	
增	zeng1	
增	zeng7	方
墦	huang1	
墀	ci5	
壅	iong2	文
壅	eng3	白
墼	gek4	
壁	biah4	
壕	hau5	
壑	hak4	
疆	giang1	
壤	riang2	
士	sv6	
壯	zang3	
吉	gik4	
吉貝	ga1 bua3	方
吉貝	ga1 beh4	方
吉貝	ga1 boh8	方
殼	kak4	
聲	sian1	
壺	hu5	
壼	kung2	
壹	ik4	
壹	zek8	訓
喆	diak4	
喜	hi2	
嘉	gia1	
嚭	pi2	
馨	heng1	
懿	i6	
藝	ghoi7	
艾	hian7	
艾	ngai6	文
艽	gau1	
艽	giu2	俗
節	zak4	+姓
節	zoih4	
艿	ni1	
芒	mang5	文
芒	men5	白
芝	zv1	
芋	ou7	
芏	dou6	bound
芊	ciang1	
芍藥	ciag4 iak8	
芑	ki2	
芎䓖	giong1 kiong5	
芨	gip8	
薌	hiang1	
芳	huang1	文
芳	pang1	白
苧	diu6	
芯	sim1	
芯	sing3	
蘆	lu5	
芙	hu5	
芙	pu5	又
芫	nguang5	
芫荽	uang5 sui1	
蕪	bhu5	
芸	ung5	
蕓	ung5	
蕓薹	ung5 tai5	
葦	ui2	
芾	huk4	
芾	hui3	又
芰	gi1	
芣	piu5	
藶	leh8	bound
苉	pik4	
苣	gv6	
芽	ghe5	
芷	zi2	
芮	rue7	
莧	hoin7	
芩	ngim5	
蓯蓉	cong5 iong5	
芥	gai3	
芬	hung1	
蒼	cang1	
芼	mau3	
萇	ciang5	
花	hue1	
芹	kvng5	
芪	ki5	
芡	kiam6	
芟	sang1	
芶	gou2	
苡	in2	bound
芭	ba1	
蘇	sou1	
甦	sou1	
范	huang6	
範	huang6	
茓	huak8	
茓	uak8	又
苾	bik8	
煢	kuang5	
蘋	ping5	
茉莉	muak8 li6	
苷	gam1	
苦	kou2	
苯	bung2	
苛	ko1	
苤藍	pi2 nam5	
若	riak8	
若	rioh8	方
蘢	long5	
茂	mou6	
茂	mong6	俗
苫	siam1	
苫	siam2	
苜蓿	mok8 sok4	
苴	zu1	
苗	miau5	
苗	bhio5	
苒	riam2	
英	eng1	
苢	in2	
䔛	keng2	
茁	cuak4	
苓	leng5	
苶	niap4	
苲	za3	
苻	hu5	
茌	sv5	
蔦	ziau2	
蔦	niau2	文
苑	uang2	
苟	gou2	
茆	mau5	
苞	bau1	
苞	pau3	俗
莖	keng5	
苔	tai5	
茅	mau5	
苠	ming5	
茀	huk4	
茄	gio5	
茄	gia1	
苕	diau1	
苕	siau6	
茫	mang5	
茳芏	gang1 dou6	
蕩	dang6	
盪	dang6	
蕩	dvng6	方
茭	gau1	
薺	ci5	
茨	cv5	
茨	zv5	俗
荒	huang1	文
荒	hen1	白
茺	cong1	
荄	gai1	
榮	iong5	
葷	hung1	
莢	goih4	
荊	geng1	
茸	rong5	
蒨	ceng3	
蒨	si1	
茬	ca5	
茬	za1	又
薦	zing3	文
薦	zin1	白、方
荋	rv5	方
荑	i5	
荑	ti5	
蕘	ngiau5	
草	cau2	文
草	co2	白
艸	cau2	
繭	goin2	
莒	gv2	
莒	gi2	又
茼蒿	tong5 hau1	文
茼蒿	dang5 o1	白
茵	ing1	
茴	hue5	
荃	cuang5	
薈	hue6	
薈	guai3	又
茶	de5	
茱萸	zu1 ru5	
莛	teng5	
蕎	kiau5	
茯	hok8	
荏	rim6	
荇	heng6	
茗	meng5	
荀	sung5	
蕒	bhoi2	
蕁	cim5	
茛	gvng3	
藎	zing6	
藎	ziang2	
蓀	sung1	
荍	kiau5	
蔭	im1	
蔭	im3	
廕	im3	
茹	ru5	
荔	li6	
葤	diu6	
葒	hong5	
藥	ioh8	
莎	so1	
莎	sa1	
莞	guang2	
莞	uang2	俗
莞	uang2	
藭	kiong5	bound
莘	sing1	
莨	liang5	
莨	nvng5	
莨菪	lang6 dang6	
萊	lai5	
荸薺	buak8 ci5	
莰	kam2	
茝	ci2	
茝	zi2	又
莆	pu5	
莽	mang2	
蓮	noin5	
蒔	si5	
莫	mok8	
莫邪	mok8 ia5	
鏌釾	mok8 ia5	
萵苣	o1 gv6	
莩	hu1	
莩	biau2	
荽	sui1	
薟	hiam1	方
荼	tu5	
莝	co5	
莉	li6	
莠	iu2	
莪	ngo5	
莓	bhue5	
蒞	li6	
荷	o5	
荷	o6	
荷	ho3	bound
莜	iu5	
蓧	diau3	
荻	dek8	
獲	uak8	
穫	uak8	
蕕	iu5	
蓴	sung5	
萍	peng5	
萍	pio5	訓
菏	o5	
菹	zu1	
菭	ti5	
菠	bo1	
菠薐	bue1 leng5	方
菪	dang6	bound
菅	gang1	
菅	guang2	又
菩薩	pu5 sak4	
萃	zui6	
萃	cui3	又
菸	hung1	方！
菼	tam2	
營	ian5	
菁	zeng1	
菁	cen1	俗
菾	tiam1	
菱	leng5	
著	du3	
著	dioh4	
蘀	toh4	
萁	gi1	
菘	song5	
萘	nai6	
萋	ci1	
菽	sok4	
菲	hui1	
菲	hui2	
菖	ciang1	
萌	meng5	
萜	tiap4	
蘿	lo5	
蘿蔔	lo5 bok8	
菌	kung2	
菜	cai3	
棻	hung1	
萎	ui2	
雈	huang5	
萸	ru5	bound
菂	dek8	古
菊	gek4	
菔	hok8	
菟	tou3	
菟	tu5	古
萄	to5	
萏	dam2	bound
蔘	sam1	
蕭	siau1	
薩	sak4	
菡萏	ham5 dam5	
菰	gou1	
菇	gou1	
菑	zv1	
葓	hong5	
蒎	pai3	
落	loh8	
落	lak4	方
落	lauh8	方
落泊	loh8 boh8	
落拓	loh8 toh4	
萱	suang1	
葖	duk8	
蒂	dih4	
蔣	zion2	
葶藶	deng5 leh8	
蔞	lu5	
葑	hong1	
葚	sim6	
葚	sim5	又
葫蘆	hu5 lu5	文
葫蘆	hou5 lou5	白
葳蕤	ui5 sui5	
蕆	tiang2	
蕆	cang2	又
葬	zvng3	
葺	cip4	
葛	guah4	
蕢	kui6	
葸	si2	
萼	ngak8	
蓇葖	guk4 duk8	
萩	ciu1	
董	dong2	文
董	dang2	白
葆	bau2	
葩	ba1	
葎	luk8	
菉	lek8	
葡萄	pu5 to5	
蔥	cang1	
葵	kui5	
葭	gia1	
蒗	lang6	
蒲	pu5	
蓉	iong5	
蒡	pang5	
蒡	bang2	又
蒟	gv2	
蓑	sui1	
簑	sui1	
蒿	hau1	
蒺藜	zik8 li5	
蓄	tiok4	
蒹	giam1	
蒴	suak4	
蒙	mou5	
蒙	mong5	又
濛	mou5	
濛	mong5	又
矇	mou5	
矇	mong5	又
蓂	meng5	
蓁	zing1	
蒜	svng3	
蓍	si1	
蓍	si7	又
爇	riak8	
蓐	rok8	
藍	nam5	
藍	na5	
蒽	vng1	
蓊	ong1	
蓓蕾	bue6 lui2	
蓖	bi1	
蓏	lo2	
蓬	pong5	
蒯	guai3	姓
薊	gi3	
薊	gi6	又
蕷	v6	bound
蒻	riak8	
蒸	zeng1	
蕖	kv5	
蔻	kou3	
蓿	sok4	bound
蔗	zia3	
蔟	zok8	
藺	liang6	
蔽	bi7	
藹	ai2	
蔧	hui6	
薔	ciang5	
蔫	iang1	
蓺	ghoi7	
蔌	sok4	
蔓	bhuang6	
蔓菁	bhuang6 cen1	
甍	meng5	
蔑	mik8	
衊	mik8	
衊	mak4	方
蔸	dau1	
蓰	si2	
蔡	cua3	
蓼	liau2	
蔚	ue3	
蔚	uk4	
薀	ung1	
蘄	ki5	
蕊	lui2	
䔮	soi1	
蕙	hui6	
蕈	cim6	
蕨	kiak4	
蕤	sui5	
蕞	cuak4	
蕺	cip4	
蕃	puang1	
蕃	huang1	
蕃	bo1	
蕉	zio1	
蔛	hok8	
蔬	so1	
蘊	ung2	
薄	boh8	
薄	bek4	
薄荷	boh8 ho3	
藪	sou2	
薪	zing1	
薪	sing1	又
薏苡	i3 in2	
蕹	eng3	
蕾	lui2	
蕾	lui5	又
蕻	hong3	
蕻	hong5	
薤	hai6	
蘋	ping5	
薨	uang1	
薯	zv5	
藷	zv5	
薙	ti3	
薐	leng5	
薛	sih4	
薇	mui5	
薝卜	siam5 bok8	
薜	pi3	
薜	pek4	俗
薅	hau1	文
薅	kau1	白
薸	pio5	
藁	gau2	文
藁	go2	白
薷	ru5	
藉	zia6	
薹	tai5	
藏	cang5	
藏	zang6	
藐	miau2	
藊	biang2	
薰	hvng1	
薰	hung1	又
蘚	siang2	
藩	puang1	
藕	ngou2	
藜	li5	
藠	gio6	
藤	ding5	
藻	cau3	
蘑	mo5	文
蘑	bhua5	白
藿	kak4	
蘧	kv5	
䕧	gau6	方
孽	ngiak8	
蘅	huang5	
蘘	riang5	
櫱	ngiak8	
蘼蕪	mi5 bhu5	
蘸	zang3	
蘸	ziau1	俗
大	dua7	白
大	dai6	文
大	tai3	
太	tai3	
夯	hang2	
夯	bung2	
誇	kua1	
奪	doh8	
夵	lu1	方！
夼	kuang2	
奩	niam5	
奀	vng1	
奈	nai6	
奔	pung1	
逩	pung1	
奇	ki5	
奇	gi1	文
奇	kia1	白
奮	hung3	
奄	iam1	
奅	pan3	方
獎	ziang3	
奕	ek8	
契	koi3	
契	ki3	
契	kiak4	
契	siak4	
奎	gui1	
耷	dah4	
奓	zia3	文
奓	de3	白
奓	zia1	
套	tau3	
奘	zang3	
奢	cia1	
奠	diang6	
敧	ki1	
欹	ki1	
奧	o3	
奭	sek4	
樊	huang5	
異	i6	
棄	ki3	
弄	long6	
弆	gv2	
奕	ek8	
弇	iam2	
舁	v5	
弊	bi7	
尤	iu5	
尨	pang5	
尬	gai3	bound
尥	liau3	
尷尬	gam3 gai3	
弋	ek8	
弌	ik4	
弌	zek8	訓
弍	ri6	
弍	no6	訓
弎	san1	
式	sek4	
甙	dai6	
小	siau2	文
小	sio2	白
少	zio2	
少	siau3	
尕	ga3	
爾	rv2	
尖	ziam1	
當	dvng1	
當	dang3	文
當	dvng3	白
肖	siau6	
肖	siau1	
尚	siang6	
尚	sion7	方、bound
和尚	hue5 sion7	
嚐	sion5	
嘗	sion5	
嘎嘎	giak4 giak4	
堂	dvng5	白
堂	tang5	文
棠	tang5	
輝	hui1	
耀	iau6	
口	kau2	
𰇇	no7	方！
葉	hioh8	
葉	iap8	
葉	hiap8	
號	ho7	
號	hao1	
叮	deng1	
只	zi2	
祇	zi2	
隻	ziah4	
叭	ba5	
叭	ba1	
嘰	gi1	
叱	cek4	
叱	duah4	俗
臺	tai5	
檯	tai5	
颱	tai5	
嘆	tang3	
歎	tang3	
叼	diau1	
叫	gio3	
叩	kau3	
叨	tau1	
叨	dau1	
叻	lak8	bound
實叻	sik8 lak8	
叻	leh4	方
另	leng5	
另	reng5	又
召	diau6	
召	siau6	
吁	u1	
籲	ru6	
嚇	heh4	
吓	heh4	
吐	tou3	
吋	cung3	
吋	eng1 cung3	又
呂	lv6	
吊	diau3	
弔	diau3	
吃	ngvk4	
喫	ngvk4	
吃	gvh4	方
吃	kvh4	方
吒	za1	
吒	ca3	
名	mian5	白
名	meng5	文
吸	kip4	
吆	iau1	
嗎	ma1	
嗎	ma6	
嗎啡	ma2 hui1	
吭	kang3	
吭	ken3	
唚	cim3	
吣	cim3	
呈	tian5	
呈	dian5	
吳	ghou5	
嘸	bho5	
囈	ghoi7	
囈	ngi3	方
呆	dai1	
獃	dai1	
呆	ngai5	
吾	u5	
吱	zin1	
呔	tai2	
吠	bui7	
嘔	au2	
否	houn2	
否	pi2	
否	pai2	本
吥	buk4	
吰	hong5	
嚦	leh8	
呃	oh4	
呃	eh4	又
噸	dung1	
噸	tang1	俗
呀	ia1	
呀	ia7	
吵	cau1	
員	uang5	
員	ung5	
員	ung6	
唄	bai7	
唄	be7	又
吶	nap8	
吟	ngim5	
含	han5	方
含	gam5	白
吩咐	hung1 hu3	
嗆	ciang1	
嗆	ciang2	
吽	hong1	
告	gau3	文
告	go3	白
吞	tung1	
聽	tian1	
聽	teng3	
吹	cue1	
吻	bhuk4	
吻	muk4	又
嗚	u1	
嗚呼	u1 hu1	
吮	rung2	
呎	cioh4	
呎	eng1 cioh4	又
吲哚	ing2 do5	
吧	ba1	
吧	ba7	
邑	ip4	
吼	hau2	
嚀	leng5	bound
咏	iong3	
詠	iong3	
味	bhi7	
咑	dok8	
哎	ai1	
哎	ai7	又
咕	gu1	
咕剁	gu1 do5	
呵	ho1	
呵	o1	又
呵	o1	方
呵	ha1	
咂	zap4	
呸	pai2	
呸	pui2	又
呸	pui3	方
嚨	leng5	
咔	ka2	
呫囁	ziam1 niap4	
咀	zu1	
咀	cui3	
呾	dan3	方！
呻吟	sing1 ngim5	
呷	ah4	
呷	ap4	又
咒	ziu3	
呪	ziu3	
咄	duk4	
咄	cuak4	俗
咄	duah4	方
呬	hi3	
呼	hu1	
呼	u1	又
呼	hou1	方
呼	kou1	
咋	za3	
知	zai1	
知	di1	又
知	di3	
和	hua5	
和	hue5	方
和	ho6	
咐	hu3	bound
呱	gua1	
呱	gu1	
呱	ua1	俗
咚	dong1	
咎	giu6	
鳴	meng5	
呴	gok4	方
咆	pau5	
咍	hai1	
呢	ni5	
呢	ni7	
呶	nau1	
咖啡	gia1 hui1	
咖喱	ga1 li5	
𠱀	pueh8	方！
呣	m6	
呣	m7	
呦	iu1	
呦	hiu1	又
噝	si1	
咤	ca3	
咤	teh4	又
咬	ga6	
齩	ga6	
諮	zv1	
咳	hai6	
咳	ga1	又
咳	hai1	
咩	meh4	
咪	mi1	
噥	long5	
哐	kuang1	
哇	ua1	
哇	ua7	
咭	gak8	
咭嗶	gak4 bik4	
咭嗶	gak4 bik8	又
啞	e2	
啞	ia1	bound
哄	hong1	
哄	hong2	
哄	hong3	
哂	siang2	
咵	kua1	
咧	lih8	
咧	le7	
咦	i5	
嘵	hiau1	
嗶嘰	pek4 gi1	
嗶嘰	bik8 gi1	
雖	sui1	
品	bing2	
咽	ing1	
嚥	iang3	
咽	ik4	
噦	ueh4	
𠹛	kah4	方！
噲	guai3	
噲	oi6	方！
哈	ha1	
哈	hah4	又
哈	hah4	
哈	gap4	
啕	tau5	bound
咮	diu6	
咻	hiu1	
譁	hua1	
嘩	hua1	
咱	za1	
咿呀	i1 ia1	
響	hiang2	
咯	koh4	
咯	lo7	
咯	gok4	
嚱	hi3	
哆嗦	do1 so1	
哞	mou5	
唚	cim5	
哏	gvng3	
哪	na2	
哪	na7	
哪吒	na5 za1	
哪吒	la5 za1	俗
哟	io1	
哟	io7	
唁	ngang3	
哼	hvn1	
哼	hvn2	
嘜	mak8	
唗	dau1	
嗊吥	gong3 buk4	
哧	ci1	
哮	hau1	
嘮	lau5	
哺	bu6	
哺	bou7	方
哽	gen2	
唔	m6	方！
啢	nion2	
啢	eng1 nion2	又
脣	dung5	
哲	diak4	
哳	ziauh4	
哨	sau3	
哨	sa3	方
嗩吶	so2 nap8	
哩	li7	
哩	li2	
哩	eng1 li2	又
哩	li1	
哩嚕	li1 lu1	
哭	kau3	
哭	kok4	又
喎	o1	
唏	hi1	
唑	zo6	bound
哦	o6	
哦	o7	
哦	ngo5	
唣	zau6	
喚	huang3	
唆	so1	
唉	ai1	
唉	ai7	
唚	zim1	方！
唧	ziak4	
啊	a7	
啊	o7	又
啊	o6	
哿	ko2	
啵	bo7	
唼	zap4	
啐	cui3	
唷	iok8	
唳	li6	
獸	siu3	
啖	dam6	
啷	lang1	bound
唪	hong2	
嘖	zeh4	
啈	hvn2	
唶	zeh4	
喏	ria2	
喏	na7	
喏	nap8	
喵	miau1	
啉	lim5	bound
啉	nim1	方
啦	la7	
啪	pah4	
唵	am6	方
啄	doh4	
囀	zuang2	
𡂿	ou1	
啡	hui1	bound
啡	pai2	方
啡	pui2	又、方
啡	pui3	方
齦	keng2	
囓	ngiak4	
唬	houn2	
唬	heh4	
嘓	gok4	
唱	ciang3	文
唱	cio3	白
啱	ngam1	方！
囉	lo7	
囉	lo5	
啥	sa6	
唾	to2	
唯	rui5	
唯	rui6	
售	ciu5	
啤	bi5	
啁	ziu1	
唿	huk4	bound
啜	cuak4	
嘯	sau3	
唰	sueh4	
嚳	kok4	
喧	suang1	
喀	keh4	
啼	ti5	
啻	ti3	
喑	im1	
瘖	im1	
喨	liang6	bound
嗟	za1	
嘍	lo7	
嗞	zv1	
噴	pung3	
喋	diap8	
嗒	dah4	
噠	dak4	
喃	nam5	
喳	za1	
喳	ca1	
喇	la1	
喊	ham3	
喱	li5	bound
喹啉	gui1 lim5	
喈	gai1	
呰窳	zv1 ru2	
喁	iong5	
喁	ngo5	又
嗢	uk4	
喝	hak4	
喝	huah4	又
喝	uah4	又
喝	duah4	俗
喂	ui2	
餵	ui2	
喟	kui3	
喟	ui2	俗
喌	zok4	
喘	cuang2	
喻	ru6	
㖹	bung5	
㗑	bai7	
㗑	bai5	
啾	ciu1	
喤	huang5	
嗖	sou2	
喉	au5	
喔	o1	
喔	ok4	
喙	hui3	
嗨	hai2	
嗐	hai7	
嗙	pang2	
嗌	eh4	
嗛	kiam2	
嗍	suh4	
嗷	ngau5	
嗉	su3	
膆	su3	
嗦	so1	bound
囁嚅	niap4 ru5	
嘟	dou1	
嗜	si7	
嗑	kap4	
噁	u3	
嗔	zing1	
嗔	tiang5	文
嗝	geh4	
嗄	sah4	
嗄	o6	
嗣	sv6	
嗯	vn6	
嗯	vn2	
嗯	vn7	
噯	an6	
噯	ai7	
嗡	ong1	
嗲	dia6	
嗅	hiu3	
嗥	hau1	
嗓	sang2	文
嗓	svng1	白
嗤	ci1	
轡	bi3	
嘧啶	mik8 deng6	
嘀咕	dek8 gou1	
嗻	zvh8	
嘛	ma7	
嗾	sou2	
嘞	le7	
嘈	cau5	
嗽	sau3	
嘌呤	piau1 leng6	
嘁	cek4	
嘎	kak4	
噓	hv1	
噓	si1	
嘑頭	hu1 tau5	
嘣	bang1	
嚶	eng1	
噇	zuang6	
噌	zeng1	
噎	ik4	
噎	i3	又
嘻	hi1	
嘶	sv1	文
嘶	soi1	白
𠿺𠿺	zvng3 zvng3	
噶	guah4	
嘲	ciau2	
嘲	ziu1	
嘹	liau5	
噘	kiak4	
噆	zam2	
噆	zap4	又
嘿	he1	
嘿	mik8	
噗	puh4	
噗	pok4	又
嘬	zuh4	
噙	kim5	
噏	hip4	
噍	ziau1	
噢	o1	
嚕囌	lu2 sou1	
噔	deng1	
囑	zok4	
噀	sung3	
噀	suang6	白
噫	i1	
噷	hm2	
噻唑	sak4 zo6	
嚆	hau1	
嚄	ua7	
嚄	uah8	方
嚄	ua6	
噤	gim3	
噱	giah8	
噱	gv6	俗
嘴	cui3	
器	ki3	
噪	cau3	
譟	cau3	
噬	si7	
𠿓	sah4	方
噼	pik4	
嚓	cak4	
嚎	hau1	
㘚	ham2	
㘚	kam2	又
嚅	ru5	bound
嚏	ti3	
𡁶	zih4	
嚜	ma7	
嚯	hua7	
嚭	pi2	
嚚	ngvng5	
囂	ngau1	
嚷	riang2	
嚼	ziak4	
囔	lang2	
囚	ciu5	
四	si3	
因	ing1	
團	tuang5	
糰	tuang5	
回	hue5	
迴	hue5	
廻	hue5	
回紇	hue5 ngvk4	
囡	nam5	
囝	gian2	方
囝	gang2	方
囥	kvng3	
園	hvn5	
圍	ui5	
困	kung3	
睏	kung3	方
囤	dung1	
囤	tung5	
囮	ho3	
囮	iu2	又
圇	lung5	
囫圇	huk4 lung5	
國	gok4	
固	gu3	
囹圄	leng5 u5	
囷	kung2	
囷	kvng5	白
圖	dou5	白
圖	tu5	文
囿	iu6	
圃	pou2	
圄	u5	bound
圂	hung6	
圓	in5	
圈	kuang1	
圊	ceng1	
圉	in2	
圜	huang5	
圜	in5	
㘥	iu5	
巾	gvng1	
布	bou3	白
布	bu3	文
佈	bou3	白
佈	bu3	文
帥	sue3	
帆	pang5	
幃	ui5	
帳	dion3	
賬	dion3	
簾	niam5	
帘	niam5	
帖	tiap4	
幟	zi3	
帙	diak4	
帕	pe3	
帛	beh8	
帔	pi1	
帚	siu2	
箒	siu2	
帑	tong2	
帑	no5	俗
帡幪	peng5 mong5	
幫	bang1	
帶	dua3	
幀	zeng1	
帨	sue3	
幬	tiu5	
幬	tau5	
帵	uang1	
幘	zeh4	
常	sion5	
常	ciang5	方
常	siang5	方
幗	gok4	
帷	rui5	
幅	bak4	
帽	bho7	
幈	ping5	
幄	ok4	
幕	mo6	
幌	huang2	
幋	puang5	
幛	ziang3	
幔	bhuang6	
幔	muan1	方
幢	tong5	
幢	dong5	
幞	pok4	
幡	puang1	
幪	mou5	
幪	mong5	又
幨	ziam1	
山	suan1	
嶼	sv6	
屹	ngvk4	
歲	sue3	文
歲	hue3	白
岌	kip4	
豈	ka2	
屺	ki2	
岍	kiang1	
岐	gi1	
岐	gia6	
岐	zin1	
岐	ki5	又
嶇	ku1	
岈	ghe5	
崗	gang1	文
崗	gvng1	白
峴	hiang3	
岑	ngim5	
岕	gai3	
崙	lung5	bound
岔	ca1	
岔	ce1	又
嶴	au3	
島	dau2	
嵐	nam5	
岜	ba1	
嶨	hak8	
岵	hu6	
岢	ko2	
岸	ngai6	
巖	ngam5	
岩	ngam5	
崬	dong3	
巋	kui1	
巋	gui1	俗
岬	gah4	
嶺	nian2	
岞	zak4	
岳	ngak8	
嶽	ngak8	
岱	dai3	
岣嶁	gu1 lu5	
峂	tong5	
峁	bhau2	
嶧	ek8	
岷	ming5	
岧嶢	diau1 ngiau5	
峧	gau1	
巒	luang5	
峽	giap4	
峽	hap8	
峙	si6	
炭	tuan3	
嶢	ngiau5	
峒	dang7	
峒	tong5	
峝	dong3	
崱屴	zek4 lek8	
嶠	kiau5	
峋	sung5	bound
崢嶸	zeng1 iong5	
巇	hi1	
崀	lang6	
崍	lai5	bound
㟖	long6	
崁	kam3	
嶗	lau5	
輋	sia5	
峭	ciau2	
峪	iok8	
峪	gok4	俗
峨	ngo5	
峯	hong1	
峻	zung3	
崇	cong5	
崆峒	kong1 tong5	
崞	guak4	
崚嶒	leng5 zeng5	
崎嶇	ki1 ku1	
崎碌	gia6 lak4	
崦嵫	iam1 zv1	
崖	ngai5	
嶄	zam2	
崮	gu3	
崟	ngim5	bound
崤	ngau5	
崔	cui1	
崔	zui1	又
崩	bang1	
㟤	lok8	
崛	kuk8	
崛	kuk4	又
嵯峨	ca1 ngo5	
嶁	lu5	bound
嵫	zv1	
嶸	iong5	
嵁	kam1	
嵁	zam6	
嵌	kam2	
嵖岈	ce5 ghe5	
崴	ui1	
𨂿	ui1	
崴嵬	ui1 ngui5	
崽	zai2	
嵎	ngo5	
嵕	zong1	
嵛	ru5	
嶔崟	kim1 ngim5	
嵬	ngui5	
嵋	bhai5	bound
嵴	zik4	
嵩	song5	
崧	song5	
嶅	ngau5	
嵊	seng6	
嶂	ziang3	
嶍	sip8	
嶙峋	ling5 sung5	
嶒	zeng5	
嶡	giak4	
嶓	bo1	
嶲	sui1	
㠖	kia6	方
嶷	ghi5	
巔	diang1	
巍	ngui5	
巉	cam5	
巙	nau5	
彳亍	tek4 cok4	
行	gian5	
行	heng5	
行	heng6	
行	hen5	方
行	hang5	
彴	ziak4	
彷徨	pang5 huang5	
徹	tiak4	
役	hiah8	
往	uang2	
征	zeng1	
徵	deng1	
徂	zu1	
徑	gen3	
逕	gen3	
彼	bi2	
衍	iang6	
徉	iang5	bound
待	tai6	
徊	hai5	bound
徇	sung5	
律	luk8	
很	hvng2	
徒	tu5	
徠	lai3	
徐	cv5	
徛	gi6	文
徛	kia6	白、方
徘徊	pai5 huai5	
徜徉	siang5 iang5	
徙	sua2	
得	dik4	
銜	ham5	文
銜	gan5	白
啣	ham5	文
啣	gan5	白
街	goi1	
御	ghv6	
御	ghv7	
徨	huang5	bound
循	sung5	
衙	ghe5	
微	mui5	
徭	iau5	
繇	iau5	
德	dek4	
悳	dek4	
徵	di2	
徵	deng1	bound
衠	zung1	
徼	hiau2	
徼	giau2	
衡	huang5	
徽	hui1	
衢	kv5	
形	heng5	
彤	tong5	
彥	ngang6	
彬	bing1	
彪	biu1	
彩	cai2	
綵	cai2	
彭	pen5	
彰	ziang1	
影	ian2	
夕	sek4	
外	ghua7	
夗	vnh8	方
舛	cung2	
舛	cuang2	又
多	do1	
夢	mang7	
㩼	zoi7	方
夤	ing5	
冬	dang1	白
冬	dong1	文
處	cu3	
務	bhu6	
各	gak4	
備	bi6	
憊	bi6	
犰狳	kiu5 v5	
犯	huang6	
獷	kuang3	
犴	gang1	
犴	hang5	又
犴	ngang6	bound
獁	ma2	
狄	dek8	
犺	hang1	文
犺	ho1	白
犺	ha1	又
狂	kuang5	
猶	iu5	
狽	bue6	
狃	niu2	
狁	rung2	bound
獰	leng5	bound
狖	iu7	
狉	pi2	
狙	zu1	
狎	ap4	
狐	hu5	文
狐	hou5	白
獮	siang2	
狗	gau2	
狍	pau5	
麅	pau5	
狒	huk4	
狒	hui3	又
狩	siu2	
狡	gau2	
獄	ghek8	
狹	hiap8	文
狹	oih8	白
