char	pengim	annot
訕	sang1	
訕	sang3	又
議	ngi2	
訖	ngvk4	
訓	hung1	
記	gi3	
訪	huang2	
講	gang2	
詎	gv6	
諱	hui3	
諱	hui2	又
謳	au1	
訝	ghia3	
訥	nap8	
訟	song6	
論	lung6	
訩	hiong1	
詾	hiong1	
許	hv2	
許	kou2	
許	hu2	象聲
譌	ho3	
訢	hvng1	
諷	hong3	
設	siak4	
訣	guak4	
𧭈	leng5	
評	peng5	
證	zeng3	
詁	gu2	文
詁	gou2	白
訶	ho1	
識	sek4	
識	zi3	
詛	zu1	
詗	guang2	
診	ziang2	
詐	za3	文
詐	den3	白
訴	su3	
詆	di2	
謅	zou1	
譯	ek8	
詞	sv5	
詖	pueh8	方！
詘	kuk4	
詘	tuk4	又
詔	riau3	
詔	ziau3	又
詒	i5	
詏	a3	方
詫	ca3	
詫	teh8	俗
該	gai1	
詳	siang5	
諢	hung6	
誄	lui2	
䛩	a3	方
誆	guang1	
試	ci3	
詿	kua3	
詩	si1	
詰	kiak4	
詼	hue1	
詼	kue1	又
誠	seng5	
𧬨	hue7	方
詮	cuang5	
誅	du1	白
誅	zu1	文
話	ue7	
誕	dang3	
詬	gou3	
詭	gui2	
詭	ngui6	又
詢	sung5	
詣	zi2	
諍	zeng1	
詡	hu2	
說	sueh4	
說	sue3	
說	ruak8	
誡	gai3	
誧	pu2	方！
語	ghv2	
誣	bhu5	
誚	ciao2	
誤	ghou7	
𧧸	bak4	方
誥	gau3	
誘	iu2	
誨	hue3	
誑	guang1	
誦	song6	
誼	ngi3	
讅	sim2	
諄	dung1	
諒	liang6	
談	tam5	
請	cian2	
諾	nap8	
諸	zu1	
讀	tak8	
讀	dao7	
諏	zou1	
諑	dok4	文
諑	doh4	白
課	kue3	
誻	dah8	
諗	sim2	
誹	hui2	
諉	ui2	
誰	sui5	
諛	ru5	
調	tiao5	
調	diao7	
諂	tiam2	
諦	ti3	
諳	am3	
諳	am1	又
諺	ngang6	
謎	mi6	
諞	piang3	
謊	huang1	
諶	sim5	
謀	mou5	
謀	mong5	俗
諜	diap8	
諫	gang3	
謔	ngiak8	
謁	hak4	
謂	ui3	
謂	ui6	
諤	ngak8	
諼	suang1	
諭	ru6	
諭	ru5	又
諥	dong7	方
讒	cam5	
諝	su1	
諧	hai5	
謗	bang6	
謐	mik8	
諡	i3	
謙	kiam1	
謨	mo5	
讜	dang2	
謖	zek4	
謖	sok4	又
謠	iau5	
謝	sia7	
謝	zia7	
謫	diah4	
譾	ziang2	
謹	gvng2	
謾	bhuang6	
謾	bhuang2	又
謬	niu6	
讕	lang5	
譜	pou2	
譚	tam5	
譖	zam3	
譙	ziao1	
譎	guak4	
讞	hiang3	
譴	kiang2	
譫	ziam1	
讖	ciam1	
二	no6	訓
二	ri6	
亍	cok4	方
亍	coh8	又、方
虧	kui1	
亓	ki5	
云	ung5	
云	ung7	又
雲	hung5	
些	se1	
些	sen1	又
靉靆	ai2 dai2	
靉靆	ain3 dai6	又
靆	dai2	bound
靆	dai6	又、bound
十	zap8	
支	zin1	
支	zin1	文
支	gi1	白
卉	hui2	
古	gou2	
協	hiap8	
華	hua5	
華	hue1	古
直	dik8	
賣	bhoi7	
南	nam5	
真	zing1	
嗇	sek4	
嗇	siak4	又
乾	kiang5	
乾	gang1	
博	pak4	
斡	uak4	方
嘏	gou2	
翰	hang5	
矗	cok4	
廠	ciang2	
廠	am1	古
廳	tian1	
仄	zeh4	
歷	leh8	
曆	leh8	
厄	eh4	
阨	eh4	
厲	li6	
壓	iap4	
厭	iam3	
厙	sia3	
厔	diak4	
厔	zi3	又
廁	ce3	
廁	si1	又
厘	li5	
釐	li5	
厚	gau6	
厝	cu3	
原	nguang5	
廂	sian1	
厴	iam2	文
厴	in2	白
廄	giu3	
廄	gi3	俗
厥	kiak4	
廚	dou5	
廈	he7	
廈	e6	
廝	sv1	
靨	iap4	
區	ku1	
區	au1	
匹	pik4	
疋	pik4	
巨	gv6	
叵	po2	
匝	zap4	
帀	zap4	
匜	i5	
匟	kang3	
匡	kang1	白
匡	kuang1	文
臣	cing5	
匠	cion7	白
匠	ziang6	文
匣	ap8	
醫	ui1	
匭	kui2	
匼	kap4	
匿	nek8	
匪	hui2	
匪	huin2	又
匾	biang2	文
匾	bing2	白
匱	kui6	
𠥜	uah4	
卜	bok4	
蔔	bok8	bound
占	ziam1	
佔	ziam3	
盧	lou5	
盧	lu5	
貞	zeng1	
滷	lou2	
鹵	lou2	
滷	lou6	
鹵	lou6	
卣	iu2	
卓	doh4	
卦	gue3	
臥	o6	
卨	siak4	
鹺	co5	
𪉿	gam3	方
刈	ngi6	
刈	ngai6	又
刊	kang1	
刊	kang5	又
劉	lau5	
刑	heng5	
刓	nguang5	
列	liak8	
𠠝	leh8	方
劃	ueh8	
剛	gang1	
則	zek4	
創	cang3	
創	ceng1	
跀	uak8	
跀	ghueh8	又
刎	huk4	
刎	muk4	又
判	puang3	文
判	puan3	白、方
剗	cang2	
別	biak8	文
別	bak8	白
別	bak4	方
別扭	biak8 niu2	
利	li6	
利	li6	文
利	lai7	白
刪	sang1	
刨	pau5	
鉋	pau5	
刨	pau1	方
剄	gen3	
刣	tai5	方！
刜	huk4	方
劑	zi3	
𠛪	tio1	
刻	kek4	
刻	kek4	文
刻	kag4	白
刲	kui1	
刵	ri7	
刺	ci3	
刺	cvng3	
刳	ku1	
㓦劃	beh4 ueh4	
到	gau3	訓
劌	ue3	
劌	gue3	又
剴	kai2	
剎	sak4	
剎	cak4	又
剎	suah4	俗
剎	sak8	
劊	guai3	
制	zi3	
製	zi3	
颳	guak4	文
颳	guah4	白
颳	gueh4	又
刮	guak4	文
刮	guah4	白
刮	gueh4	又
刮	huah4	方
剁	do5	
刷	sueh4	
剃	ti3	
剌	la1	
剋	kak4	
剋	kiok4	又
𠜙	buh4	方
剅	lau5	
𠞭	lau5	
削	siah4	
剮	gua2	
劍	giam3	
剉	co3	
𠜱	poi1	方
剜	uang2	
剖	pou2	
剖	pou1	又
剡	iam2	
剞劂	gi1 kiak4	
剕	hui3	
