叉	ca1
䟕	ca1
炒	ca2
蹅	ca3
詫	ca3
礤	ca3
姹	ca3
奼	ca3
仛	ca3
柴	ca5
垞	ca5
鍤	cah4
臿	cah4
歃	cah4
插	cah4
猜	cai1
采	cai2
踩	cai2
綵	cai2
睬	cai2
採	cai2
彩	cai2
菜	cai3
財	cai5
豺	cai5
裁	cai5
纔	cai5
材	cai5
才	cai5
鑔	cak4
錯	cak4
漆	cak4
擦	cak4
搽	cak4
察	cak4
剎	cak4
䃰	cak4
鰂	cak8
鑿	cak8
賊	cak8
驂	cam1
磣	cam1
滲	cam1
攙	cam1
摻	cam1
參	cam1
憯	cam2
慘	cam2
讖	cam3
羼	cam3
懺	cam3
儳	cam3
饞	cam5
讒	cam5
慚	cam5
慙	cam5
巉	cam5
鵮	cam7
鶬	cang1
餐	cang1
鏘	cang1
蹌	cang1
蔥	cang1
蒼	cang1
瑲	cang1
潺	cang1
滄	cang1
戧	cang1
愴	cang1
孱	cang1
創	cang1
傖	cang1
倉	cang1
鏟	cang2
蕆	cang2
剷	cang2
粲	cang3
璨	cang3
燦	cang3
熗	cang3
創	cang3
藏	cang5
田	cang5
殘	cang5
戕	cang5
鈔	cau1
耖	cau1
操	cau1
抄	cau1
剿	cau1
草	cau2
躁	cau3
譟	cau3
藻	cau3
臭	cau3
臊	cau3
燥	cau3
澡	cau3
氉	cau3
操	cau3
慥	cau3
噪	cau3
吵	cau3
螬	cau5
繅	cau5
漕	cau5
曹	cau5
巢	cau5
嘈	cau5
杈	ce1
扠	ce1
差	ce1
尺	ce1
叉	ce1
扯	ce2
廁	ce3
查	ce5
策	ceh4
冊	ceh4
膝	cek4
粟	cek4
測	cek4
槭	cek4
斥	cek4
戚	cek4
慼	cek4
惻	cek4
坼	cek4
嘁	cek4
僳	cek4
側	cek4
鯖	cen1
青	cen1
蜻	cen1
菁	cen1
腥	cen1
生	cen1
氰	cen1
星	cen1
醒	cen2
蜻	ceng1
稱	ceng1
清	ceng1
檉	ceng1
圊	ceng1
偁	ceng1
銃	ceng3
蒨	ceng3
茜	ceng3
稱	ceng3
倩	ceng3
餳	ceng5
橙	ceng5
棖	ceng5
情	ceng5
穿	ceng7
鴟	ci1
鰭	ci1
郪	ci1
蚩	ci1
萋	ci1
篪	ci1
筮	ci1
笞	ci1
癡	ci1
淒	ci1
棲	ci1
差	ci1
媸	ci1
妻	ci1
嗤	ci1
嗜	ci1
褫	ci2
試	ci3
翅	ci3
弒	ci3
刺	ci3
齊	ci5
馳	ci5
遲	ci5
蠐	ci5
蚳	ci5
薺	ci5
墀	ci5
鈰	ci6
市	ci6
飼	ci7
車	cia1
賒	cia1
硨	cia1
奢	cia1
赤	ciah4
鵲	ciak4
雀	ciak4
綽	ciak4
戳	ciak4
請	cian2
且	cian2
鯧	ciang1
閶	ciang1
菖	ciang1
猖	ciang1
昌	ciang1
娼	ciang1
嗆	ciang1
倡	ciang1
闡	ciang2
氅	ciang2
昶	ciang2
敞	ciang2
廠	ciang2
嗆	ciang2
蒨	ciang3
茜	ciang3
唱	ciang3
倡	ciang3
長	ciang5
釺	ciang5
薔	ciang5
萇	ciang5
爿	ciang5
檣	ciang5
嬙	ciang5
笑	cie3
尺	cieh4
呎	cieh4
蓆	cieh8
席	cieh8
趄	ciek4
沏	ciek4
切	ciek4
籤	ciem1
簽	ciem1
